INS,COMMUNE,LAT,LONG,CODPOSS
41002,AALST,50.93333333,4.033333333,9300
44001,AALTER,51.08333333,3.433333333,9880
24001,AARSCHOT,50.98333333,4.816666667,3200
11001,AARTSELAAR,51.13333333,4.383333333,2630
23105,AFFLIGEM,50.9,4.1,1790
52074,AISEAU-PRESLES,50.4,4.583333333,6250
73001,ALKEN,50.86666667,5.3,3570
38002,ALVERINGEM,51,2.7,8690
61003,AMAY,50.53333333,5.316666667,4540
63001,AMEL,50.35,6.166666667,4770
92003,ANDENNE,50.48333333,5.1,5300
21001,ANDERLECHT,50.83333333,4.3,1070
56001,ANDERLUES,50.4,4.266666667,6150
91005,ANHEE,50.3,4.866666667,5537
62003,ANS,50.65,5.516666667,4430
61079,ANTHISNES,50.46666667,5.516666667,4160
57003,ANTOING,50.56666667,3.45,7640
11002,ANTWERPEN,51.2,4.4,2000
34002,ANZEGEM,50.81666667,3.466666667,8570
37020,ARDOOIE,50.96666667,3.183333333,8850
13001,ARENDONK,51.31666667,5.083333333,2370
81001,ARLON,49.68333333,5.816666667,6700
71002,AS,51,5.583333333,3665
23002,ASSE,50.9,4.183333333,1730
43002,ASSENEDE,51.21666667,3.75,9960
92006,ASSESSE,50.36666667,5.016666667,5330
51004,ATH,50.61666667,3.766666667,7800
81003,ATTERT,49.75,5.783333333,6717
81004,AUBANGE,50,5.8,6790
63003,AUBEL,50.7,5.85,4880
34003,AVELGEM,50.76666667,3.433333333,8580
62006,AWANS,50.65,5.45,4340
62009,AYWAILLE,50.46666667,5.666666667,4920
13002,BAARLE-HERTOG,51.43333333,4.916666667,2387
63004,BAELEN,50.61666667,5.966666667,4837
13003,BALEN,51.16666667,5.166666667,2490
62011,BASSENGE,50.75,5.6,4690
82003,BASTOGNE,50,5.7,6600
56005,BEAUMONT,50.23333333,4.233333333,6500
91013,BEAURAING,50.1,4.95,5570
25005,BEAUVECHAIN,50.76666667,4.766666667,1320
31003,BEERNEM,51.13333333,3.333333333,8730
13004,BEERSE,51.31666667,4.85,2340
23003,BEERSEL,50.76666667,4.3,1650
24007,BEGIJNENDIJK,51.01666667,4.766666667,3130
24008,BEKKEVOORT,50.93333333,4.966666667,3460
51008,BELOEIL,50.55,3.733333333,7970
71004,BERINGEN,51.03333333,5.216666667,3580
12002,BERLAAR,51.11666667,4.65,2590
42003,BERLARE,51.01666667,4,9290
64008,BERLOZ,51,5.2,4257
51009,BERNISSART,50.46666667,3.65,7320
24009,BERTEM,50.85,4.616666667,3060
82005,BERTOGNE,50.08333333,5.666666667,6687
84009,BERTRIX,49.85,5.25,6880
23009,BEVER,50.71666667,3.933333333,1547
